(SOD_env) user-511@z640:~/small_object_detect$ python train4.py 
🔥 사용 중인 디바이스: cuda | GPU 개수: 2개
총 161381장의 실제 이미지를 불러왔습니다.
/home/user-511/miniconda3/envs/SOD_env/lib/python3.8/site-packages/torch/nn/utils/weight_norm.py:134: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
🚀 듀얼 GPU(DataParallel) 모드를 활성화합니다!
🔥 모드 콜랩스 방지 코드 적용 완료! 16만 장 듀얼 GPU 집중 학습을 시작합니다...
Epoch [1/15] | Step [2360/10086] | Loss: 6.4570
Epoch [1/15] | Step [2370/10086] | Loss: 6.6061
Epoch [1/15] | Step [2380/10086] | Loss: 6.1429
Epoch [1/15] | Step [2390/10086] | Loss: 7.1120
Epoch [1/15] | Step [2400/10086] | Loss: 6.3354
Epoch [1/15] | Step [2410/10086] | Loss: 7.0573
Epoch [1/15] | Step [2420/10086] | Loss: 7.3021
Epoch [1/15] | Step [2430/10086] | Loss: 6.9164
Epoch [1/15] | Step [2440/10086] | Loss: 5.6174
Epoch [1/15] | Step [2450/10086] | Loss: 7.2289
Epoch [1/15] | Step [2460/10086] | Loss: 6.0190
Epoch [1/15] | Step [2470/10086] | Loss: 4.9537
Epoch [1/15] | Step [2480/10086] | Loss: 6.6216
Epoch [1/15] | Step [2490/10086] | Loss: 6.5306
Epoch [1/15] | Step [2500/10086] | Loss: 5.6526
Epoch [1/15] | Step [2510/10086] | Loss: 5.6347
Epoch [1/15] | Step [2520/10086] | Loss: 6.7784
Epoch [1/15] | Step [2530/10086] | Loss: 6.5617
Epoch [1/15] | Step [2540/10086] | Loss: 6.7252
Epoch [1/15] | Step [2550/10086] | Loss: 4.7596
Epoch [1/15] | Step [2560/10086] | Loss: 5.7820
Epoch [1/15] | Step [2570/10086] | Loss: 5.8143
Epoch [1/15] | Step [2580/10086] | Loss: 6.3271
Epoch [1/15] | Step [2590/10086] | Loss: 6.3898
Epoch [1/15] | Step [2600/10086] | Loss: 6.1945
Epoch [1/15] | Step [2610/10086] | Loss: 6.3056
Epoch [1/15] | Step [2620/10086] | Loss: 7.1863
Epoch [1/15] | Step [2630/10086] | Loss: 5.8830
Epoch [1/15] | Step [2640/10086] | Loss: 5.6061
Epoch [1/15] | Step [2650/10086] | Loss: 6.9096
Epoch [1/15] | Step [2660/10086] | Loss: 6.6299
Epoch [1/15] | Step [2670/10086] | Loss: 6.6930
Epoch [1/15] | Step [2680/10086] | Loss: 4.6303
Epoch [1/15] | Step [2690/10086] | Loss: 5.4913
Epoch [1/15] | Step [2700/10086] | Loss: 5.7886
Epoch [1/15] | Step [2710/10086] | Loss: 6.3027
Epoch [1/15] | Step [2720/10086] | Loss: 5.3311
